Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Pakistan,PAK,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,19.8385200500488,21.7634296417236,22.6038208007812,27.2463207244873,29.0634307861328,29.1768093109131,29.0589694976807,29.2962900661933,29.7271460529531,30.6300201416016,31.544819132504,32.6573427323505,34.6741466548496,35.8643246680809,35.3224248744451,37.1466063259079,38.7511552822907,..,40.2578898404389,40.4177656413012,42.2911451386891,48.2805022055997,..
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.241,62.556,62.834,63.097,62.416,63.624,63.807,64.002,64.206,64.378,64.659,64.883,65.129,65.374,65.641,65.943,66.223,66.481,66.729,65.701,65.773,67.417,67.649,67.799,..
Pakistan,PAK,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,86.6,84.7,83,81.4,80,78.6,77.3,75.9,74.4,72.8,71.1,69.3,67.4,65.5,63.6,61.7,59.8,58.1,56.3,54.6,53,51.3,49.7,48.2,..
Pakistan,PAK,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.5,0.49,0.48,0.48,0.47,0.46,0.46,0.44,0.43,0.42,0.43,0.45,0.47,0.47,0.46,0.49,0.5,0.5,0.5,0.63,..,..,..,..,..
Pakistan,PAK,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,20.4,21,20.2,18.3,16.9,15.7,15.1,15.1,15.4,15.5,15.4,15,14.7,14.2,13.3,11.5,11.7,10.9,12.9,13.4,16.4,16.7,16.5,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
